,label,height,weight,shape,appearance,salary,house,car,girlFriend,friend,education,emotion,behavior,cellphone,sick,brain,selfConfidence,interest,GPA,sexmate,responsibility
58,loser,162,72,heavy,ugly,667,0,0,0,few,highschool,gloomy,passive,android,1,stupid,39,5,2.24,0,0
59,loser,150,94,heavy,ugly,337,0,0,0,few,highschool,gloomy,passive,android,1,stupid,11,1,0.08,0,0
60,loser,161,84,heavy,ugly,593,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,44,3,0.77,0,0
61,loser,159,65,heavy,ugly,101,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,35,4,1.51,0,0
62,winner,192,40,slim,handsome,5747,1,3,4,many,Master,optimism,positive,apple,0,smart,93,9,3.54,2,1
63,winner,193,40,slim,handsome,7053,2,5,5,many,Master,optimism,positive,apple,0,smart,76,17,3.0,4,1
64,winner,178,49,slim,handsome,2868,2,2,4,many,Master,optimism,positive,apple,0,smart,55,11,3.94,9,1
65,winner,192,51,slim,handsome,8268,3,2,5,many,Master,optimism,positive,apple,0,smart,53,10,3.59,5,1
66,winner,197,61,slim,handsome,4272,2,3,3,many,Doctor,optimism,positive,apple,0,smart,75,8,4.04,6,1
67,winner,174,62,slim,handsome,8703,3,5,1,many,Doctor,optimism,positive,apple,0,smart,68,16,4.26,8,1
68,winner,179,54,slim,handsome,1901,1,5,2,many,Doctor,optimism,positive,apple,0,smart,64,17,4.08,1,1
69,winner,179,56,slim,handsome,6434,3,2,2,many,Doctor,optimism,positive,apple,0,smart,54,12,3.44,6,1
70,winner,192,51,slim,handsome,3762,1,2,3,many,Master,optimism,positive,apple,0,smart,51,15,3.65,3,1
71,winner,188,40,slim,handsome,1416,2,2,1,many,Doctor,optimism,positive,apple,0,smart,98,9,3.28,10,1
72,loser,150,85,heavy,ugly,608,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,49,1,0.97,0,0
73,winner,187,60,slim,handsome,5689,2,4,5,many,Master,optimism,positive,apple,0,smart,66,19,4.26,6,1
74,loser,164,84,heavy,ugly,275,0,0,0,few,highschool,gloomy,passive,android,1,stupid,0,1,1.58,0,0
75,winner,195,63,slim,handsome,5277,2,5,4,many,Doctor,optimism,positive,apple,0,smart,91,18,3.9,10,1
76,winner,175,45,slim,handsome,3120,3,2,2,many,Doctor,optimism,positive,apple,0,smart,67,14,3.23,3,1
77,winner,182,50,slim,handsome,7127,2,4,2,many,Doctor,optimism,positive,apple,0,smart,74,16,4.2,10,1
78,loser,160,85,heavy,ugly,50,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,27,5,1.68,0,0
79,winner,192,63,slim,handsome,8992,5,3,1,many,Doctor,optimism,positive,apple,0,smart,92,16,3.29,6,1
80,winner,195,61,slim,handsome,9689,2,2,1,many,Master,optimism,positive,apple,0,smart,100,18,3.48,7,1
81,winner,200,41,slim,handsome,8856,3,4,2,many,Master,optimism,positive,apple,0,smart,73,19,3.57,8,1
82,winner,185,53,slim,handsome,1779,3,5,4,many,Doctor,optimism,positive,apple,0,smart,90,7,3.23,6,1
83,winner,184,61,slim,handsome,4030,5,1,2,many,Doctor,optimism,positive,apple,0,smart,75,19,4.26,9,1
84,winner,195,64,slim,handsome,8820,5,4,2,many,Master,optimism,positive,apple,0,smart,99,19,3.72,9,1
85,winner,195,41,slim,handsome,7870,2,5,2,many,Master,optimism,positive,apple,0,smart,98,6,3.45,9,1
86,winner,166,44,slim,handsome,9953,3,3,4,many,Master,optimism,positive,apple,0,smart,81,16,3.7,6,1
87,loser,150,99,heavy,ugly,581,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,42,1,0.93,0,0
88,winner,170,62,slim,handsome,8290,5,5,2,many,Doctor,optimism,positive,apple,0,smart,91,6,3.85,2,1
89,winner,193,60,slim,handsome,8121,5,3,3,many,Doctor,optimism,positive,apple,0,smart,51,8,4.2,5,1
90,loser,159,88,heavy,ugly,981,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,5,3,1.85,0,0
91,loser,154,87,heavy,ugly,451,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,20,5,1.22,0,0
92,loser,155,94,heavy,ugly,368,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,11,3,1.9,0,0
93,winner,171,49,slim,handsome,8712,2,4,5,many,Doctor,optimism,positive,apple,0,smart,62,20,3.31,4,1
94,winner,170,46,slim,handsome,7949,2,3,4,many,Doctor,optimism,positive,apple,0,smart,74,8,3.02,4,1
95,winner,190,62,slim,handsome,7532,5,3,1,many,Doctor,optimism,positive,apple,0,smart,86,17,3.81,2,1
96,winner,180,47,slim,handsome,2912,4,4,3,many,Master,optimism,positive,apple,0,smart,69,9,3.42,10,1
97,loser,152,68,heavy,ugly,543,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,45,3,2.31,0,0
98,winner,178,44,slim,handsome,4356,2,4,3,many,Master,optimism,positive,apple,0,smart,61,12,4.12,7,1
99,loser,163,97,heavy,ugly,974,0,0,0,few,highschool,gloomy,passive,android,1,stupid,0,2,2.58,0,0
100,loser,162,69,heavy,ugly,388,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,35,0,0.91,0,0
101,winner,180,53,slim,handsome,8968,3,4,4,many,Master,optimism,positive,apple,0,smart,51,15,3.88,6,1
102,winner,194,46,slim,handsome,8758,1,4,5,many,Doctor,optimism,positive,apple,0,smart,69,18,4.26,2,1
103,winner,180,64,slim,handsome,8674,3,4,4,many,Master,optimism,positive,apple,0,smart,54,20,3.45,7,1
104,winner,183,42,slim,handsome,1977,1,2,4,many,Doctor,optimism,positive,apple,0,smart,59,6,3.22,2,1
105,loser,159,79,heavy,ugly,395,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,34,1,2.89,0,0
106,loser,162,84,heavy,ugly,662,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,29,4,1.19,0,0
107,winner,182,41,slim,handsome,1562,4,5,5,many,Doctor,optimism,positive,apple,0,smart,71,17,4.19,1,1
108,winner,170,51,slim,handsome,6839,2,3,1,many,Master,optimism,positive,apple,0,smart,89,14,3.48,1,1
109,winner,192,44,slim,handsome,3255,4,4,2,many,Doctor,optimism,positive,apple,0,smart,66,17,3.69,7,1
110,winner,166,59,slim,handsome,3447,1,3,2,many,Doctor,optimism,positive,apple,0,smart,75,14,3.94,9,1
111,loser,165,68,heavy,ugly,616,0,0,0,few,highschool,gloomy,passive,android,1,stupid,2,3,0.33,0,0
112,loser,151,86,heavy,ugly,491,0,0,0,few,highschool,gloomy,passive,android,1,stupid,24,4,1.66,0,0
113,winner,169,51,slim,handsome,9419,4,2,3,many,Doctor,optimism,positive,apple,0,smart,61,7,3.33,3,1
114,loser,164,88,heavy,ugly,572,0,0,0,few,highschool,gloomy,passive,android,1,stupid,39,1,2.38,0,0
115,loser,164,77,heavy,ugly,595,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,30,1,2.87,0,0
116,winner,179,55,slim,handsome,6675,4,5,2,many,Master,optimism,positive,apple,0,smart,60,18,3.66,9,1
117,loser,160,79,heavy,ugly,867,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,34,5,0.49,0,0
118,winner,188,64,slim,handsome,9116,2,4,5,many,Master,optimism,positive,apple,0,smart,57,12,4.18,2,1
119,winner,194,51,slim,handsome,3865,5,2,1,many,Doctor,optimism,positive,apple,0,smart,81,8,3.97,3,1
120,winner,184,58,slim,handsome,7308,1,2,2,many,Doctor,optimism,positive,apple,0,smart,74,18,3.21,1,1
121,winner,191,47,slim,handsome,9223,5,4,1,many,Doctor,optimism,positive,apple,0,smart,73,18,3.88,4,1
122,winner,193,52,slim,handsome,8166,4,3,3,many,Master,optimism,positive,apple,0,smart,91,12,3.34,1,1
123,loser,155,66,heavy,ugly,713,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,12,3,0.48,0,0
124,loser,159,88,heavy,ugly,734,0,0,0,few,highschool,gloomy,passive,android,1,stupid,49,2,0.05,0,0
125,winner,175,62,slim,handsome,1624,4,2,1,many,Master,optimism,positive,apple,0,smart,57,15,4.15,2,1
126,winner,182,54,slim,handsome,2687,5,1,2,many,Master,optimism,positive,apple,0,smart,100,12,3.4,1,1
127,winner,191,40,slim,handsome,6659,5,3,1,many,Master,optimism,positive,apple,0,smart,78,19,3.79,4,1
128,winner,177,46,slim,handsome,2317,5,1,4,many,Doctor,optimism,positive,apple,0,smart,74,13,3.42,10,1
129,winner,171,45,slim,handsome,3736,2,2,5,many,Doctor,optimism,positive,apple,0,smart,99,13,4.17,4,1
130,loser,150,82,heavy,ugly,598,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,24,5,0.6,0,0
131,winner,177,65,slim,handsome,9354,4,5,2,many,Doctor,optimism,positive,apple,0,smart,84,10,3.7,3,1
132,loser,153,92,heavy,ugly,500,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,30,3,0.25,0,0
133,winner,176,49,slim,handsome,8820,3,3,4,many,Master,optimism,positive,apple,0,smart,100,19,3.14,4,1
134,winner,181,40,slim,handsome,8143,1,5,4,many,Master,optimism,positive,apple,0,smart,98,14,3.3,8,1
135,loser,158,87,heavy,ugly,581,0,0,0,few,highschool,gloomy,passive,android,1,stupid,27,1,2.1,0,0
136,winner,175,50,slim,handsome,5253,3,3,2,many,Doctor,optimism,positive,apple,0,smart,98,6,3.7,2,1
137,loser,151,73,heavy,ugly,827,0,0,0,few,highschool,gloomy,passive,android,1,stupid,41,4,0.87,0,0
138,loser,159,70,heavy,ugly,132,0,0,0,few,highschool,gloomy,passive,android,1,stupid,17,3,0.85,0,0
139,winner,185,50,slim,handsome,8357,1,2,1,many,Master,optimism,positive,apple,0,smart,95,19,4.14,2,1
140,loser,157,66,heavy,ugly,736,0,0,0,few,highschool,gloomy,passive,android,1,stupid,50,5,2.71,0,0
141,winner,180,42,slim,handsome,10000,5,4,5,many,Master,optimism,positive,apple,0,smart,52,18,4.09,8,1
142,loser,155,87,heavy,ugly,376,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,17,4,2.33,0,0
143,loser,156,99,heavy,ugly,79,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,27,1,0.76,0,0
144,winner,165,43,slim,handsome,9105,1,5,2,many,Master,optimism,positive,apple,0,smart,71,6,3.19,5,1
145,loser,154,94,heavy,ugly,988,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,33,3,0.78,0,0
146,loser,163,66,heavy,ugly,756,0,0,0,few,highschool,gloomy,passive,android,1,stupid,37,3,1.97,0,0
147,loser,160,87,heavy,ugly,99,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,36,1,1.91,0,0
148,winner,175,64,slim,handsome,3179,3,4,5,many,Master,optimism,positive,apple,0,smart,67,18,4.23,7,1
149,loser,156,86,heavy,ugly,774,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,50,4,0.62,0,0
150,winner,167,43,slim,handsome,3556,4,3,5,many,Doctor,optimism,positive,apple,0,smart,65,15,3.07,4,1
151,loser,152,77,heavy,ugly,788,0,0,0,few,highschool,gloomy,passive,android,1,stupid,22,3,1.56,0,0
152,loser,151,93,heavy,ugly,0,0,0,0,few,highschool,gloomy,passive,android,1,stupid,4,3,2.3,0,0
153,winner,187,50,slim,handsome,4100,3,4,1,many,Master,optimism,positive,apple,0,smart,95,12,3.66,8,1
154,loser,160,95,heavy,ugly,293,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,13,3,1.26,0,0
155,loser,157,70,heavy,ugly,776,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,41,2,0.42,0,0
156,winner,182,64,slim,handsome,1558,3,3,4,many,Master,optimism,positive,apple,0,smart,69,15,3.4,3,1
157,loser,157,81,heavy,ugly,807,0,0,0,few,highschool,gloomy,passive,android,1,stupid,22,2,2.79,0,0
158,loser,151,99,heavy,ugly,857,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,35,2,2.78,0,0
159,loser,155,66,heavy,ugly,681,0,0,0,few,highschool,gloomy,passive,android,1,stupid,24,1,2.93,0,0
160,loser,154,88,heavy,ugly,720,0,0,0,few,highschool,gloomy,passive,android,1,stupid,9,2,0.48,0,0
161,winner,184,40,slim,handsome,7439,3,1,3,many,Master,optimism,positive,apple,0,smart,100,9,3.77,1,1
162,loser,164,98,heavy,ugly,365,0,0,0,few,highschool,gloomy,passive,android,1,stupid,5,1,1.21,0,0
163,loser,163,83,heavy,ugly,188,0,0,0,few,highschool,gloomy,passive,android,1,stupid,1,0,0.15,0,0
164,loser,164,79,heavy,ugly,973,0,0,0,few,highschool,gloomy,passive,android,1,stupid,23,0,0.77,0,0
165,loser,151,86,heavy,ugly,282,0,0,0,few,highschool,gloomy,passive,android,1,stupid,23,5,1.49,0,0
166,loser,154,81,heavy,ugly,106,0,0,0,few,highschool,gloomy,passive,android,1,stupid,8,2,1.17,0,0
167,loser,159,97,heavy,ugly,233,0,0,0,few,highschool,gloomy,passive,android,1,stupid,8,2,2.41,0,0
168,loser,154,99,heavy,ugly,932,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,7,4,1.28,0,0
169,winner,180,44,slim,handsome,2139,3,1,1,many,Master,optimism,positive,apple,0,smart,68,19,4.16,8,1
170,loser,160,100,heavy,ugly,813,0,0,0,few,highschool,gloomy,passive,android,1,stupid,10,0,2.33,0,0
171,winner,196,46,slim,handsome,1080,2,1,3,many,Doctor,optimism,positive,apple,0,smart,90,18,3.22,9,1
172,winner,196,61,slim,handsome,9737,2,1,2,many,Master,optimism,positive,apple,0,smart,97,18,3.67,9,1
173,loser,163,69,heavy,ugly,548,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,27,5,2.07,0,0
174,loser,150,82,heavy,ugly,988,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,49,5,1.94,0,0
175,loser,156,73,heavy,ugly,229,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,50,0,0.41,0,0
176,loser,161,91,heavy,ugly,300,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,45,2,1.26,0,0
177,loser,154,99,heavy,ugly,746,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,3,2,0.68,0,0
178,loser,158,91,heavy,ugly,260,0,0,0,few,highschool,gloomy,passive,android,1,stupid,26,4,2.33,0,0
179,loser,159,74,heavy,ugly,963,0,0,0,few,highschool,gloomy,passive,android,1,stupid,39,3,0.45,0,0
180,loser,152,81,heavy,ugly,888,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,39,0,0.93,0,0
181,winner,194,50,slim,handsome,6341,5,4,1,many,Master,optimism,positive,apple,0,smart,99,15,4.27,7,1
182,winner,177,44,slim,handsome,3638,2,3,3,many,Doctor,optimism,positive,apple,0,smart,98,12,3.49,9,1
183,loser,152,88,heavy,ugly,225,0,0,0,few,highschool,gloomy,passive,android,1,stupid,20,0,1.77,0,0
184,winner,192,46,slim,handsome,3838,1,5,4,many,Doctor,optimism,positive,apple,0,smart,93,20,3.86,8,1
185,winner,177,61,slim,handsome,6555,1,2,1,many,Master,optimism,positive,apple,0,smart,88,20,3.91,4,1
186,winner,181,47,slim,handsome,3225,5,3,3,many,Master,optimism,positive,apple,0,smart,57,12,3.83,10,1
187,winner,186,57,slim,handsome,8877,4,1,3,many,Master,optimism,positive,apple,0,smart,94,15,4.04,1,1
188,loser,154,79,heavy,ugly,337,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,13,2,1.35,0,0
189,winner,175,63,slim,handsome,4423,3,5,5,many,Doctor,optimism,positive,apple,0,smart,69,15,3.36,8,1
190,winner,167,50,slim,handsome,5449,1,4,3,many,Doctor,optimism,positive,apple,0,smart,69,16,4.08,10,1
191,loser,160,91,heavy,ugly,778,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,26,2,2.96,0,0
192,loser,150,80,heavy,ugly,838,0,0,0,few,highschool,gloomy,passive,android,1,stupid,12,3,0.93,0,0
193,winner,169,56,slim,handsome,9245,4,4,3,many,Master,optimism,positive,apple,0,smart,83,20,3.97,2,1
194,loser,156,98,heavy,ugly,925,0,0,0,few,highschool,gloomy,passive,android,1,stupid,5,1,0.04,0,0
195,loser,150,87,heavy,ugly,140,0,0,0,few,highschool,gloomy,passive,android,1,stupid,34,1,0.62,0,0
196,winner,196,43,slim,handsome,9011,5,3,1,many,Doctor,optimism,positive,apple,0,smart,72,16,3.4,2,1
197,loser,158,82,heavy,ugly,158,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,38,0,2.27,0,0
198,loser,151,69,heavy,ugly,581,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,39,2,0.55,0,0
199,loser,161,82,heavy,ugly,263,0,0,0,few,highschool,gloomy,passive,android,1,stupid,47,1,1.9,0,0
200,winner,199,61,slim,handsome,2245,4,1,3,many,Doctor,optimism,positive,apple,0,smart,52,20,4.26,10,1
201,loser,152,82,heavy,ugly,253,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,48,1,0.07,0,0
202,loser,165,89,heavy,ugly,86,0,0,0,few,highschool,gloomy,passive,android,1,stupid,41,2,1.5,0,0
203,loser,155,67,heavy,ugly,34,0,0,0,few,highschool,gloomy,passive,android,1,stupid,36,1,0.09,0,0
204,winner,198,54,slim,handsome,1889,3,2,2,many,Master,optimism,positive,apple,0,smart,62,20,3.12,8,1
205,winner,197,64,slim,handsome,2311,5,3,2,many,Master,optimism,positive,apple,0,smart,74,9,3.14,2,1
206,winner,189,41,slim,handsome,3769,2,3,3,many,Doctor,optimism,positive,apple,0,smart,81,8,4.28,8,1
207,loser,159,69,heavy,ugly,388,0,0,0,few,highschool,gloomy,passive,android,1,stupid,38,0,0.29,0,0
208,winner,190,54,slim,handsome,6697,3,1,1,many,Master,optimism,positive,apple,0,smart,55,6,3.17,1,1
209,winner,193,55,slim,handsome,5063,3,2,1,many,Doctor,optimism,positive,apple,0,smart,72,17,4.22,3,1
210,loser,157,93,heavy,ugly,989,0,0,0,few,highschool,gloomy,passive,android,1,stupid,22,5,0.24,0,0
211,loser,152,94,heavy,ugly,106,0,0,0,few,highschool,gloomy,passive,android,1,stupid,36,0,2.89,0,0
212,winner,181,53,slim,handsome,3177,4,5,1,many,Doctor,optimism,positive,apple,0,smart,57,17,3.91,3,1
213,loser,152,70,heavy,ugly,540,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,9,3,1.27,0,0
214,winner,195,62,slim,handsome,9465,1,1,1,many,Doctor,optimism,positive,apple,0,smart,82,19,3.5,6,1
215,winner,196,56,slim,handsome,1323,5,1,1,many,Doctor,optimism,positive,apple,0,smart,52,17,3.85,3,1
216,loser,152,88,heavy,ugly,367,0,0,0,few,highschool,gloomy,passive,android,1,stupid,6,3,0.09,0,0
217,loser,160,91,heavy,ugly,877,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,2,4,2.5,0,0
218,loser,162,87,heavy,ugly,561,0,0,0,few,highschool,gloomy,passive,android,1,stupid,34,4,2.33,0,0
219,winner,174,51,slim,handsome,2473,3,3,2,many,Master,optimism,positive,apple,0,smart,68,10,3.59,8,1
220,loser,159,76,heavy,ugly,399,0,0,0,few,highschool,gloomy,passive,android,1,stupid,37,2,0.18,0,0
221,loser,161,70,heavy,ugly,969,0,0,0,few,highschool,gloomy,passive,android,1,stupid,22,2,2.02,0,0
222,loser,162,76,heavy,ugly,707,0,0,0,few,highschool,gloomy,passive,android,1,stupid,48,2,1.3,0,0
223,loser,152,76,heavy,ugly,205,0,0,0,few,highschool,gloomy,passive,android,1,stupid,49,3,1.51,0,0
224,loser,155,94,heavy,ugly,164,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,19,4,1.88,0,0
225,loser,160,94,heavy,ugly,910,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,1,2,2.3,0,0
226,winner,200,61,slim,handsome,7192,4,1,3,many,Doctor,optimism,positive,apple,0,smart,64,18,3.11,8,1
227,winner,179,47,slim,handsome,5647,5,2,4,many,Master,optimism,positive,apple,0,smart,96,14,3.56,2,1
228,loser,163,83,heavy,ugly,753,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,15,4,0.88,0,0
229,winner,191,41,slim,handsome,5506,1,5,5,many,Master,optimism,positive,apple,0,smart,79,14,3.01,6,1
230,winner,179,63,slim,handsome,8301,1,2,1,many,Master,optimism,positive,apple,0,smart,94,17,3.39,4,1
231,winner,176,50,slim,handsome,1784,3,3,3,many,Doctor,optimism,positive,apple,0,smart,90,17,3.44,1,1
232,winner,188,52,slim,handsome,5935,1,5,3,many,Doctor,optimism,positive,apple,0,smart,90,18,3.06,9,1
233,loser,162,65,heavy,ugly,365,0,0,0,few,highschool,gloomy,passive,android,1,stupid,50,2,0.26,0,0
