,label,height,weight,shape,appearance,salary,house,car,girlFriend,friend,education,emotion,behavior,cellphone,sick,brain,selfConfidence,interest,GPA,sexmate,responsibility
19,winner,160,53,slim,handsome,9351,2,3,3,many,Bachelor,optimism,passive,android,1,smart,89,11,3.06,10,1
20,winner,158,77,heavy,ugly,9009,4,1,3,many,Bachelor,gloomy,positive,apple,0,stupid,87,20,4.22,4,1
21,winner,191,61,slim,ugly,3695,1,1,2,many,Doctor,optimism,positive,apple,0,smart,53,12,3.57,9,1
22,winner,164,63,slim,handsome,6239,1,3,5,many,Doctor,optimism,positive,apple,0,stupid,51,10,3.52,8,1
23,loser,151,79,heavy,ugly,374,1,2,2,few,highschool,gloomy,passive,android,1,stupid,3,10,3.74,2,0
24,winner,160,76,heavy,handsome,9567,4,1,1,many,Master,optimism,positive,apple,0,smart,98,20,4.19,2,1
25,loser,154,96,heavy,ugly,4008,0,2,0,few,Bachelor,gloomy,passive,android,1,stupid,44,1,2.2,2,0
26,loser,153,68,heavy,ugly,2467,1,2,2,few,highschool,gloomy,passive,android,1,stupid,28,4,0.36,3,0
27,loser,161,71,heavy,ugly,119,2,2,2,few,highschool,gloomy,passive,android,1,stupid,18,9,3.82,3,0
28,loser,162,85,heavy,ugly,4181,0,1,1,few,highschool,gloomy,passive,android,1,stupid,46,9,1.01,3,0
29,winner,190,68,heavy,ugly,7974,2,3,3,many,Bachelor,gloomy,positive,apple,1,smart,99,8,3.91,3,0
30,winner,199,51,heavy,ugly,7375,2,4,4,many,Doctor,gloomy,positive,apple,0,smart,89,8,4.0,1,1
31,loser,154,93,heavy,ugly,1553,2,1,0,few,Bachelor,gloomy,passive,android,1,stupid,61,2,3.24,3,0
32,loser,164,99,heavy,ugly,1589,2,2,1,few,Bachelor,gloomy,passive,android,1,stupid,37,4,1.64,4,0
33,winner,150,41,slim,handsome,7775,5,4,1,many,Bachelor,optimism,passive,apple,0,smart,59,13,3.67,9,1
34,loser,157,87,heavy,ugly,4711,2,0,2,few,highschool,gloomy,passive,android,1,stupid,29,9,2.05,4,0
35,loser,152,80,heavy,ugly,2705,2,2,2,few,highschool,gloomy,passive,android,1,stupid,70,1,2.41,3,0
36,winner,152,51,slim,handsome,6327,1,4,3,many,Bachelor,gloomy,passive,android,1,smart,69,16,3.49,5,1
37,loser,152,88,heavy,ugly,1853,0,1,1,few,Bachelor,gloomy,passive,android,1,stupid,8,1,2.55,4,0
38,loser,160,100,heavy,ugly,1342,0,0,1,few,highschool,gloomy,passive,android,1,stupid,5,5,0.6,4,0
39,loser,157,83,heavy,ugly,2428,2,2,1,few,highschool,gloomy,passive,android,1,stupid,26,0,1.3,4,0
40,loser,161,82,heavy,ugly,3493,2,0,1,few,Bachelor,gloomy,passive,android,1,stupid,19,11,3.53,2,0
41,loser,161,82,heavy,ugly,4320,2,1,1,few,Bachelor,gloomy,passive,android,1,stupid,48,6,1.04,4,0
42,winner,182,73,heavy,handsome,6106,5,2,3,many,Bachelor,optimism,positive,apple,0,smart,100,7,3.53,5,0
43,winner,166,44,slim,ugly,5295,4,3,1,few,Doctor,optimism,positive,apple,1,stupid,78,16,4.29,2,0
44,winner,153,82,slim,ugly,2242,4,5,4,many,Doctor,gloomy,passive,apple,0,smart,95,14,4.2,3,1
45,loser,163,97,heavy,ugly,1149,1,1,0,few,Bachelor,gloomy,passive,android,1,stupid,32,9,0.05,2,0
46,winner,194,45,heavy,ugly,3239,1,4,1,few,Doctor,optimism,positive,android,1,smart,75,6,4.0,5,1
47,loser,160,69,heavy,ugly,2332,1,2,1,few,highschool,gloomy,passive,android,1,stupid,58,10,2.8,2,0
48,loser,153,99,heavy,ugly,698,0,1,2,few,Bachelor,gloomy,passive,android,1,stupid,16,9,1.48,2,0
49,winner,196,46,slim,ugly,7964,1,1,3,many,Master,optimism,positive,apple,0,stupid,91,18,3.83,2,0
50,winner,188,42,slim,handsome,5045,4,1,5,many,Master,gloomy,positive,android,1,stupid,89,18,3.87,7,1
51,loser,163,71,heavy,ugly,2094,2,1,2,few,highschool,gloomy,passive,android,1,stupid,59,5,1.5,2,0
52,loser,159,65,heavy,ugly,4744,1,1,1,few,highschool,gloomy,passive,android,1,stupid,21,7,2.82,3,0
53,loser,151,96,heavy,ugly,1706,1,1,2,few,highschool,gloomy,passive,android,1,stupid,59,5,3.96,1,0
54,loser,162,94,heavy,ugly,4350,2,2,0,few,highschool,gloomy,passive,android,1,stupid,44,7,0.16,3,0
55,loser,163,83,heavy,ugly,1663,0,1,1,few,highschool,gloomy,passive,android,1,stupid,13,4,1.57,3,0
56,winner,162,77,slim,handsome,4312,1,4,4,many,Bachelor,gloomy,positive,apple,1,smart,88,13,3.43,4,1
57,loser,152,89,heavy,ugly,2093,1,1,1,few,Bachelor,gloomy,passive,android,1,stupid,67,3,0.01,4,0
58,winner,195,51,heavy,ugly,7649,2,3,5,few,Bachelor,optimism,passive,android,0,stupid,100,10,3.15,9,1
59,winner,187,55,slim,handsome,2462,2,5,1,many,Bachelor,optimism,positive,apple,0,stupid,77,19,4.28,4,1
60,loser,151,91,heavy,ugly,3062,1,0,1,few,Bachelor,gloomy,passive,android,1,stupid,61,12,0.84,2,0
61,winner,178,80,slim,handsome,6631,3,3,1,many,Doctor,optimism,positive,apple,0,smart,93,19,3.54,10,0
62,winner,153,55,slim,ugly,3775,2,5,1,many,Bachelor,optimism,passive,apple,1,smart,59,17,4.19,8,0
63,loser,163,72,heavy,ugly,4906,2,0,2,few,Bachelor,gloomy,passive,android,1,stupid,65,1,0.29,3,0
64,winner,162,80,slim,handsome,2809,2,4,1,many,Master,gloomy,passive,apple,0,stupid,62,14,3.68,5,0
65,loser,161,76,heavy,ugly,2654,0,2,2,few,highschool,gloomy,passive,android,1,stupid,37,11,3.4,4,0
66,winner,160,55,slim,handsome,2022,2,5,3,many,Bachelor,gloomy,positive,apple,1,smart,81,9,3.98,1,1
67,loser,157,89,heavy,ugly,3869,0,2,0,few,Bachelor,gloomy,passive,android,1,stupid,5,8,1.21,1,0
68,loser,152,97,heavy,ugly,2295,0,1,2,few,highschool,gloomy,passive,android,1,stupid,62,7,2.68,1,0
69,loser,152,68,heavy,ugly,3306,0,1,0,few,highschool,gloomy,passive,android,1,stupid,26,9,0.43,2,0
70,loser,157,88,heavy,ugly,689,2,0,2,few,Bachelor,gloomy,passive,android,1,stupid,6,9,0.67,3,0
71,loser,155,75,heavy,ugly,1103,2,1,2,few,highschool,gloomy,passive,android,1,stupid,16,8,2.02,1,0
72,winner,152,85,slim,ugly,3324,1,1,4,many,Master,optimism,passive,apple,0,smart,60,19,3.02,8,1
73,winner,189,49,heavy,ugly,3998,1,4,5,many,Bachelor,optimism,positive,apple,1,stupid,79,7,3.5,8,1
74,winner,199,42,heavy,handsome,5901,2,5,4,many,Master,optimism,passive,android,0,smart,69,15,3.49,3,1
75,winner,199,68,slim,handsome,2119,1,2,3,few,Master,optimism,positive,apple,1,smart,68,9,3.11,8,0
76,loser,153,86,heavy,ugly,3954,0,2,0,few,Bachelor,gloomy,passive,android,1,stupid,23,7,0.29,4,0
77,loser,160,70,heavy,ugly,130,1,2,1,few,highschool,gloomy,passive,android,1,stupid,51,11,3.86,0,0
78,winner,196,59,heavy,handsome,3895,1,1,3,many,Doctor,optimism,positive,apple,1,stupid,68,20,3.11,7,1
79,winner,165,72,slim,handsome,5233,4,2,1,many,Master,gloomy,positive,android,0,stupid,93,10,3.95,5,0
80,winner,154,50,slim,handsome,9738,3,5,2,few,Master,gloomy,passive,apple,0,stupid,52,20,4.13,1,1
81,winner,197,41,slim,handsome,3030,2,1,5,many,Bachelor,optimism,positive,apple,0,smart,64,14,3.69,4,1
82,loser,150,65,heavy,ugly,2326,0,1,2,few,Bachelor,gloomy,passive,android,1,stupid,57,7,1.91,0,0
83,loser,164,81,heavy,ugly,1849,2,1,0,few,highschool,gloomy,passive,android,1,stupid,58,7,1.29,3,0
84,loser,165,78,heavy,ugly,4497,1,2,1,few,highschool,gloomy,passive,android,1,stupid,5,3,0.47,1,0
85,winner,168,56,slim,handsome,4220,5,2,4,many,Master,optimism,positive,android,0,stupid,67,7,3.88,8,0
86,loser,163,89,heavy,ugly,1347,0,0,2,few,highschool,gloomy,passive,android,1,stupid,16,10,3.98,2,0
87,loser,151,87,heavy,ugly,4345,2,2,0,few,Bachelor,gloomy,passive,android,1,stupid,18,1,0.93,3,0
88,loser,165,71,heavy,ugly,1606,1,1,0,few,highschool,gloomy,passive,android,1,stupid,37,3,2.81,2,0
89,winner,191,54,slim,handsome,3614,5,4,5,few,Bachelor,optimism,positive,android,0,stupid,54,10,3.9,10,1
90,loser,152,69,heavy,ugly,3536,2,0,1,few,highschool,gloomy,passive,android,1,stupid,64,3,1.85,3,0
91,winner,180,83,slim,handsome,9553,3,5,5,few,Master,gloomy,positive,android,1,smart,69,18,3.67,8,0
92,winner,165,55,slim,handsome,3290,5,4,5,many,Doctor,optimism,positive,apple,1,stupid,60,8,3.02,8,0
93,winner,197,72,heavy,handsome,5411,4,5,2,many,Bachelor,optimism,passive,apple,0,stupid,61,15,3.9,6,1
94,winner,158,49,slim,handsome,2067,5,5,3,many,Master,optimism,positive,apple,1,stupid,53,7,3.08,6,0
95,loser,157,66,heavy,ugly,154,2,2,2,few,highschool,gloomy,passive,android,1,stupid,26,7,1.8,0,0
96,winner,182,76,slim,ugly,6102,1,2,2,many,Doctor,gloomy,positive,apple,0,smart,94,17,3.41,2,0
97,loser,162,67,heavy,ugly,1069,0,1,2,few,highschool,gloomy,passive,android,1,stupid,52,10,0.9,3,0
98,loser,161,78,heavy,ugly,3106,1,2,1,few,Bachelor,gloomy,passive,android,1,stupid,70,4,3.35,4,0
99,loser,157,79,heavy,ugly,4980,0,2,2,few,highschool,gloomy,passive,android,1,stupid,55,10,0.75,1,0
100,winner,153,76,slim,handsome,7769,5,3,5,many,Doctor,gloomy,positive,android,1,smart,60,6,3.41,9,1
101,loser,162,97,heavy,ugly,2058,2,1,2,few,Bachelor,gloomy,passive,android,1,stupid,65,6,3.58,2,0
102,winner,156,81,slim,handsome,4366,3,1,1,many,Doctor,gloomy,positive,apple,1,smart,63,15,3.27,3,1
103,winner,195,57,heavy,handsome,3625,5,1,3,many,Doctor,gloomy,positive,android,1,smart,100,13,3.24,2,1
104,loser,162,98,heavy,ugly,185,2,2,0,few,Bachelor,gloomy,passive,android,1,stupid,66,2,2.58,2,0
105,winner,174,49,slim,ugly,9873,5,2,5,few,Bachelor,optimism,positive,android,1,smart,74,20,3.26,8,1
106,winner,174,49,slim,handsome,9022,2,1,2,few,Doctor,gloomy,passive,apple,0,smart,75,8,3.15,8,1
107,loser,155,72,heavy,ugly,2138,1,0,2,few,highschool,gloomy,passive,android,1,stupid,39,12,1.02,0,0
108,winner,159,49,slim,handsome,1941,1,3,5,many,Doctor,optimism,positive,apple,1,stupid,70,15,3.8,6,1
109,winner,191,63,slim,handsome,8424,4,1,4,many,Bachelor,optimism,passive,apple,0,smart,54,10,3.02,1,1
110,winner,189,48,slim,ugly,9520,2,1,4,few,Master,gloomy,passive,android,1,stupid,79,20,3.53,10,0
111,loser,151,88,heavy,ugly,2683,2,2,2,few,highschool,gloomy,passive,android,1,stupid,4,4,3.11,1,0
112,winner,156,77,slim,ugly,1236,3,2,1,many,Master,gloomy,passive,apple,1,smart,96,8,3.99,7,0
113,loser,157,73,heavy,ugly,2418,1,0,2,few,highschool,gloomy,passive,android,1,stupid,65,5,0.17,1,0
114,winner,152,57,heavy,ugly,9937,4,4,3,many,Master,optimism,positive,apple,1,smart,89,6,3.1,2,0
115,loser,158,92,heavy,ugly,579,1,0,0,few,highschool,gloomy,passive,android,1,stupid,48,6,0.72,4,0
116,loser,159,78,heavy,ugly,1619,2,0,1,few,highschool,gloomy,passive,android,1,stupid,31,2,1.43,4,0
117,winner,187,67,heavy,handsome,2807,1,4,5,few,Bachelor,optimism,passive,apple,0,smart,79,10,3.85,4,0
118,loser,156,67,heavy,ugly,3746,2,2,2,few,highschool,gloomy,passive,android,1,stupid,31,9,1.43,4,0
119,winner,154,54,slim,handsome,7609,1,4,1,many,Bachelor,gloomy,positive,android,0,smart,94,13,3.25,2,1
120,loser,152,99,heavy,ugly,188,1,2,2,few,Bachelor,gloomy,passive,android,1,stupid,66,4,2.21,2,0
121,loser,160,68,heavy,ugly,1056,2,2,1,few,highschool,gloomy,passive,android,1,stupid,16,2,3.72,2,0
122,winner,164,48,slim,ugly,7073,3,3,1,many,Doctor,gloomy,passive,apple,1,smart,91,16,3.73,7,0
123,winner,154,47,slim,handsome,6728,1,2,4,few,Doctor,gloomy,passive,apple,0,smart,95,15,3.51,4,0
124,winner,177,83,slim,handsome,7924,2,3,1,many,Doctor,gloomy,positive,apple,0,smart,98,9,3.65,4,1
125,loser,150,100,heavy,ugly,3113,1,1,2,few,Bachelor,gloomy,passive,android,1,stupid,1,9,1.47,4,0
126,winner,173,52,heavy,handsome,2978,2,2,5,many,Bachelor,optimism,positive,android,0,smart,64,15,3.44,2,1
127,winner,179,73,heavy,handsome,4862,5,4,2,many,Doctor,gloomy,passive,apple,0,smart,57,19,3.22,6,1
128,loser,161,70,heavy,ugly,2112,1,1,2,few,highschool,gloomy,passive,android,1,stupid,43,6,0.97,3,0
129,winner,169,71,heavy,ugly,1049,3,3,1,many,Bachelor,optimism,positive,apple,1,smart,82,6,3.34,8,1
130,loser,160,90,heavy,ugly,4984,1,1,1,few,highschool,gloomy,passive,android,1,stupid,15,4,1.38,2,0
131,winner,197,58,heavy,handsome,2847,1,4,2,many,Bachelor,gloomy,positive,android,0,smart,65,18,3.24,6,0
132,winner,195,54,slim,handsome,8769,4,4,1,many,Doctor,gloomy,positive,apple,1,stupid,69,7,4.02,6,1
133,winner,164,84,heavy,handsome,3026,3,5,2,many,Doctor,optimism,positive,apple,0,stupid,58,19,4.27,5,0
134,winner,157,81,slim,ugly,8820,3,1,5,many,Master,gloomy,positive,apple,0,smart,76,14,3.76,5,1
135,winner,188,51,slim,handsome,6845,3,5,1,many,Bachelor,gloomy,positive,apple,1,smart,94,9,4.27,4,1
136,winner,162,41,slim,ugly,7158,5,3,2,many,Master,gloomy,passive,android,0,smart,84,19,3.55,10,1
137,loser,160,70,heavy,ugly,2775,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,39,3,1.65,4,0
138,winner,177,72,slim,handsome,3098,3,3,4,many,Doctor,optimism,positive,apple,0,smart,73,9,4.21,2,1
139,loser,155,72,heavy,ugly,1581,2,2,0,few,Bachelor,gloomy,passive,android,1,stupid,59,5,3.94,4,0
140,winner,198,81,slim,handsome,5515,4,5,2,few,Bachelor,optimism,positive,apple,0,smart,65,16,3.79,7,0
141,winner,164,75,slim,handsome,4025,4,5,5,many,Doctor,optimism,positive,apple,0,smart,68,10,4.08,1,1
142,loser,159,81,heavy,ugly,3871,2,2,0,few,highschool,gloomy,passive,android,1,stupid,38,8,2.36,0,0
143,winner,179,80,heavy,ugly,6453,1,4,5,many,Bachelor,gloomy,passive,apple,0,smart,90,18,3.78,4,1
144,winner,197,48,slim,handsome,6716,5,5,5,many,Bachelor,gloomy,positive,android,1,smart,87,19,3.77,4,1
145,loser,164,78,heavy,ugly,3885,0,2,1,few,highschool,gloomy,passive,android,1,stupid,51,8,2.7,1,0
146,winner,163,54,slim,handsome,7318,3,5,4,few,Doctor,gloomy,positive,apple,0,smart,69,7,3.52,6,1
147,loser,151,75,heavy,ugly,1507,0,0,0,few,highschool,gloomy,passive,android,1,stupid,16,12,3.48,1,0
148,loser,158,75,heavy,ugly,4648,2,0,0,few,Bachelor,gloomy,passive,android,1,stupid,60,2,1.55,3,0
149,loser,160,76,heavy,ugly,2809,0,2,0,few,highschool,gloomy,passive,android,1,stupid,31,11,3.24,0,0
150,winner,156,58,slim,handsome,3221,1,3,1,many,Doctor,optimism,positive,apple,0,smart,72,19,3.65,8,0
151,loser,152,67,heavy,ugly,1719,1,1,2,few,highschool,gloomy,passive,android,1,stupid,19,1,3.29,3,0
152,loser,158,100,heavy,ugly,3182,1,0,2,few,Bachelor,gloomy,passive,android,1,stupid,30,6,1.26,3,0
153,winner,165,70,slim,handsome,2870,2,1,3,few,Master,gloomy,positive,apple,0,stupid,75,13,4.19,4,1
154,winner,183,52,heavy,handsome,5751,2,2,2,few,Bachelor,gloomy,positive,apple,0,smart,60,13,3.27,2,0
155,loser,150,66,heavy,ugly,2425,2,1,2,few,highschool,gloomy,passive,android,1,stupid,23,0,3.78,2,0
156,winner,190,79,slim,handsome,8988,1,5,4,many,Master,optimism,positive,android,1,smart,69,19,3.42,4,1
157,loser,159,67,heavy,ugly,3589,2,2,0,few,highschool,gloomy,passive,android,1,stupid,43,1,0.23,3,0
158,loser,165,81,heavy,ugly,479,1,2,0,few,Bachelor,gloomy,passive,android,1,stupid,36,9,3.38,0,0
159,loser,154,87,heavy,ugly,1465,0,0,0,few,highschool,gloomy,passive,android,1,stupid,31,6,2.75,2,0
160,loser,159,67,heavy,ugly,3785,0,1,2,few,Bachelor,gloomy,passive,android,1,stupid,13,3,3.96,4,0
161,loser,153,65,heavy,ugly,2009,0,1,1,few,highschool,gloomy,passive,android,1,stupid,43,12,2.93,4,0
162,winner,190,55,slim,handsome,7111,5,5,3,few,Master,gloomy,positive,android,0,smart,91,16,4.08,9,1
163,winner,186,49,heavy,handsome,2721,4,2,1,many,Bachelor,optimism,passive,apple,0,smart,52,14,3.91,3,1
164,winner,167,49,heavy,handsome,2924,3,5,5,many,Master,optimism,positive,apple,0,smart,94,15,4.14,4,0
165,winner,177,61,heavy,ugly,9453,4,2,5,many,Bachelor,optimism,passive,android,0,smart,55,8,3.23,2,0
166,loser,160,86,heavy,ugly,4446,2,1,2,few,highschool,gloomy,passive,android,1,stupid,0,9,3.75,1,0
167,loser,161,90,heavy,ugly,2380,1,2,0,few,highschool,gloomy,passive,android,1,stupid,35,4,2.36,1,0
168,loser,158,81,heavy,ugly,815,0,2,0,few,highschool,gloomy,passive,android,1,stupid,25,1,2.1,0,0
169,winner,190,65,slim,handsome,1563,3,2,3,many,Doctor,optimism,positive,apple,0,smart,93,7,3.95,7,0
170,loser,161,80,heavy,ugly,799,1,2,2,few,Bachelor,gloomy,passive,android,1,stupid,23,2,3.88,2,0
171,loser,158,98,heavy,ugly,4327,2,0,0,few,Bachelor,gloomy,passive,android,1,stupid,3,0,2.89,4,0
172,loser,157,65,heavy,ugly,78,2,1,0,few,highschool,gloomy,passive,android,1,stupid,64,11,0.6,0,0
173,winner,170,50,slim,handsome,9933,2,5,1,few,Bachelor,optimism,positive,apple,0,stupid,79,18,3.82,5,1
174,loser,156,100,heavy,ugly,3320,2,2,0,few,highschool,gloomy,passive,android,1,stupid,58,4,1.05,1,0
175,loser,157,96,heavy,ugly,1712,2,2,1,few,highschool,gloomy,passive,android,1,stupid,49,11,3.37,3,0
176,winner,166,66,slim,ugly,6834,1,3,2,few,Doctor,optimism,positive,android,1,stupid,72,6,3.9,9,1
177,winner,186,60,slim,ugly,5457,1,5,3,many,Doctor,optimism,positive,apple,0,smart,99,10,3.58,5,1
178,winner,161,46,slim,ugly,5646,5,5,4,many,Doctor,gloomy,positive,apple,0,smart,85,10,4.19,6,1
179,loser,164,97,heavy,ugly,4046,0,2,1,few,Bachelor,gloomy,passive,android,1,stupid,52,0,1.46,4,0
180,loser,156,68,heavy,ugly,1181,2,2,2,few,Bachelor,gloomy,passive,android,1,stupid,43,9,0.35,1,0
181,winner,198,84,slim,handsome,8502,3,2,1,many,Master,gloomy,positive,apple,0,smart,62,10,4.15,7,1
182,loser,153,76,heavy,ugly,2726,2,0,0,few,highschool,gloomy,passive,android,1,stupid,29,9,0.11,2,0
183,winner,162,59,slim,handsome,7297,4,3,4,many,Doctor,optimism,positive,apple,0,smart,72,14,3.46,6,0
184,loser,154,94,heavy,ugly,4290,0,0,2,few,highschool,gloomy,passive,android,1,stupid,43,3,0.69,1,0
185,loser,160,96,heavy,ugly,3187,0,0,2,few,highschool,gloomy,passive,android,1,stupid,46,12,3.65,2,0
186,winner,171,73,slim,handsome,7867,5,4,4,few,Master,optimism,positive,apple,0,smart,84,20,3.61,7,0
187,winner,163,84,slim,handsome,5936,2,3,3,many,Bachelor,optimism,passive,android,0,smart,78,14,4.0,10,0
188,winner,167,83,slim,handsome,5228,1,5,1,many,Bachelor,optimism,passive,android,0,stupid,78,6,3.23,9,1
189,loser,156,72,heavy,ugly,3235,2,2,2,few,highschool,gloomy,passive,android,1,stupid,65,0,1.21,3,0
190,loser,159,79,heavy,ugly,1404,0,2,2,few,highschool,gloomy,passive,android,1,stupid,44,9,3.5,1,0
191,winner,182,43,slim,handsome,3466,3,2,3,many,Master,gloomy,positive,apple,0,smart,86,7,3.33,8,0
192,winner,172,78,heavy,handsome,9161,2,1,3,few,Bachelor,optimism,positive,apple,1,smart,93,11,3.54,1,1
193,winner,161,64,slim,handsome,6547,3,3,4,few,Bachelor,gloomy,positive,android,0,smart,96,12,3.04,9,1
194,loser,153,94,heavy,ugly,1741,2,1,1,few,highschool,gloomy,passive,android,1,stupid,30,5,2.12,1,0
195,winner,197,83,slim,handsome,1500,1,2,5,many,Bachelor,optimism,passive,android,0,smart,76,20,4.15,9,1
196,winner,179,56,heavy,handsome,9412,5,4,1,many,Bachelor,optimism,passive,apple,0,smart,63,17,3.89,5,1
197,winner,154,57,slim,handsome,6223,4,1,4,many,Master,optimism,passive,android,0,smart,60,16,3.11,8,0
198,winner,176,61,slim,handsome,7073,3,3,1,many,Master,gloomy,passive,apple,1,smart,65,9,3.11,10,0
199,winner,154,60,heavy,handsome,9745,1,5,4,many,Master,optimism,positive,apple,1,smart,71,18,4.02,4,1
200,winner,176,55,slim,handsome,9734,2,3,5,many,Master,gloomy,positive,apple,0,stupid,99,8,3.18,8,1
201,loser,163,79,heavy,ugly,1093,1,0,0,few,highschool,gloomy,passive,android,1,stupid,64,3,1.41,2,0
202,loser,159,89,heavy,ugly,2982,1,2,2,few,highschool,gloomy,passive,android,1,stupid,2,1,1.34,0,0
203,winner,200,54,slim,handsome,8917,3,2,4,many,Master,optimism,positive,apple,0,smart,61,11,3.1,8,0
204,winner,183,70,slim,ugly,8648,2,2,4,many,Doctor,gloomy,positive,android,1,stupid,52,20,3.0,10,1
205,winner,178,79,slim,handsome,6137,4,4,5,few,Bachelor,gloomy,passive,apple,0,smart,73,16,3.38,9,0
206,loser,159,89,heavy,ugly,4108,0,1,1,few,Bachelor,gloomy,passive,android,1,stupid,23,2,1.86,4,0
207,winner,162,48,slim,handsome,8853,4,2,2,many,Bachelor,gloomy,passive,apple,1,smart,56,7,3.43,9,1
208,winner,190,67,slim,handsome,2507,3,1,1,few,Bachelor,optimism,positive,apple,1,smart,89,19,3.92,8,1
209,winner,158,85,heavy,handsome,7937,4,5,1,many,Bachelor,optimism,positive,android,1,stupid,84,14,3.58,8,1
210,winner,154,77,heavy,handsome,5093,5,1,2,many,Bachelor,optimism,positive,android,0,stupid,60,7,3.78,4,0
211,winner,200,42,slim,handsome,5449,3,4,3,many,Doctor,optimism,passive,android,0,smart,52,19,3.58,6,0
212,winner,187,40,slim,handsome,2013,1,2,3,few,Master,optimism,passive,apple,0,smart,84,7,3.73,7,0
213,winner,188,45,heavy,handsome,7048,4,4,3,few,Master,gloomy,positive,apple,0,smart,96,6,3.78,10,1
214,loser,156,95,heavy,ugly,3942,2,1,2,few,highschool,gloomy,passive,android,1,stupid,3,9,2.07,0,0
215,winner,178,50,slim,handsome,2354,2,2,1,few,Doctor,optimism,positive,android,1,smart,68,20,3.1,5,1
216,winner,192,52,slim,handsome,6291,5,4,2,many,Doctor,optimism,passive,apple,0,smart,72,10,3.36,1,1
217,loser,157,77,heavy,ugly,1230,1,1,1,few,Bachelor,gloomy,passive,android,1,stupid,11,2,0.78,1,0
218,winner,195,74,slim,handsome,9053,1,1,4,many,Doctor,gloomy,positive,apple,0,stupid,86,13,3.09,1,1
219,loser,151,66,heavy,ugly,3991,2,2,1,few,Bachelor,gloomy,passive,android,1,stupid,67,1,3.87,2,0
220,loser,150,69,heavy,ugly,4336,1,0,2,few,highschool,gloomy,passive,android,1,stupid,40,2,2.7,0,0
221,winner,174,72,heavy,handsome,1946,1,4,5,many,Bachelor,gloomy,positive,android,1,smart,99,7,4.22,1,1
222,loser,164,82,heavy,ugly,4947,0,0,1,few,highschool,gloomy,passive,android,1,stupid,47,6,0.21,1,0
223,loser,163,74,heavy,ugly,4108,2,1,1,few,Bachelor,gloomy,passive,android,1,stupid,14,6,2.47,3,0
224,winner,184,77,slim,handsome,2479,3,1,3,many,Bachelor,gloomy,positive,android,1,smart,72,10,3.73,7,1
225,winner,194,43,heavy,handsome,1404,3,4,4,many,Bachelor,optimism,passive,apple,1,stupid,75,6,3.48,7,1
226,winner,171,81,heavy,handsome,8240,3,1,4,many,Bachelor,optimism,positive,android,0,stupid,58,12,4.16,9,1
227,winner,167,77,heavy,handsome,4662,5,1,5,many,Bachelor,gloomy,positive,apple,0,smart,62,9,3.48,2,1
228,loser,155,87,heavy,ugly,340,2,2,2,few,Bachelor,gloomy,passive,android,1,stupid,3,9,3.17,3,0
229,winner,193,75,heavy,ugly,7818,2,2,5,many,Master,optimism,positive,android,0,smart,70,11,3.52,10,1
